si_no,mart_name,year,month,product_id,Product,sales
3698,Mart B,2018,2,PRD32,Gram Oil,1816
3699,Mart B,2018,3,PRD32,Gram Oil,2460
3700,Mart B,2018,4,PRD32,Gram Oil,2676
3701,Mart B,2018,5,PRD32,Gram Oil,3094
3702,Mart B,2018,6,PRD32,Gram Oil,3156
3703,Mart B,2018,7,PRD32,Gram Oil,3415
3704,Mart B,2018,8,PRD32,Gram Oil,2974
3705,Mart B,2018,9,PRD32,Gram Oil,2713
3706,Mart B,2018,10,PRD32,Gram Oil,2571
3707,Mart B,2018,11,PRD32,Gram Oil,2834
3708,Mart B,2018,12,PRD32,Gram Oil,1962
3709,Mart B,2019,1,PRD32,Gram Oil,2085
3710,Mart B,2019,2,PRD32,Gram Oil,2035
3711,Mart B,2019,3,PRD32,Gram Oil,2819
3712,Mart B,2019,4,PRD32,Gram Oil,3181
3713,Mart B,2019,5,PRD32,Gram Oil,3447
3714,Mart B,2019,6,PRD32,Gram Oil,3559
3715,Mart B,2019,7,PRD32,Gram Oil,3820
3716,Mart B,2019,8,PRD32,Gram Oil,3468
3717,Mart B,2019,9,PRD32,Gram Oil,2965
3718,Mart B,2019,10,PRD32,Gram Oil,3050
3719,Mart B,2019,11,PRD32,Gram Oil,3211
3720,Mart B,2019,12,PRD32,Gram Oil,2294
3721,Mart B,2020,1,PRD32,Gram Oil,2229
3722,Mart B,2020,2,PRD32,Gram Oil,2133
3723,Mart B,2020,3,PRD32,Gram Oil,2859
3724,Mart B,2020,4,PRD32,Gram Oil,3300
3725,Mart B,2020,5,PRD32,Gram Oil,3748
3726,Mart B,2020,6,PRD32,Gram Oil,3574
3727,Mart B,2020,7,PRD32,Gram Oil,4100
3728,Mart B,2020,8,PRD32,Gram Oil,3745
3729,Mart B,2020,9,PRD32,Gram Oil,3291
3730,Mart B,2020,10,PRD32,Gram Oil,3206
3731,Mart B,2020,11,PRD32,Gram Oil,3273
3732,Mart B,2020,12,PRD32,Gram Oil,2428
3733,Mart B,2021,1,PRD32,Gram Oil,2386
3734,Mart B,2021,2,PRD32,Gram Oil,2308
3735,Mart B,2021,3,PRD32,Gram Oil,3116
3736,Mart B,2021,4,PRD32,Gram Oil,3565
3737,Mart B,2021,5,PRD32,Gram Oil,3904
3738,Mart B,2021,6,PRD32,Gram Oil,4028
3739,Mart B,2021,7,PRD32,Gram Oil,4478
3740,Mart B,2021,8,PRD32,Gram Oil,3934
3741,Mart B,2021,9,PRD32,Gram Oil,3429
3742,Mart B,2021,10,PRD32,Gram Oil,3414
3743,Mart B,2021,11,PRD32,Gram Oil,3444
3744,Mart B,2021,12,PRD32,Gram Oil,2594
3745,Mart B,2018,1,PRD33,Gingelly Oil,993
3746,Mart B,2018,2,PRD33,Gingelly Oil,974
3747,Mart B,2018,3,PRD33,Gingelly Oil,1348
3748,Mart B,2018,4,PRD33,Gingelly Oil,1472
3749,Mart B,2018,5,PRD33,Gingelly Oil,1656
3750,Mart B,2018,6,PRD33,Gingelly Oil,1748
3751,Mart B,2018,7,PRD33,Gingelly Oil,1862
3752,Mart B,2018,8,PRD33,Gingelly Oil,1654
3753,Mart B,2018,9,PRD33,Gingelly Oil,1512
3754,Mart B,2018,10,PRD33,Gingelly Oil,1329
3755,Mart B,2018,11,PRD33,Gingelly Oil,1519
3756,Mart B,2018,12,PRD33,Gingelly Oil,1034
3757,Mart B,2019,1,PRD33,Gingelly Oil,1130
3758,Mart B,2019,2,PRD33,Gingelly Oil,1137
3759,Mart B,2019,3,PRD33,Gingelly Oil,1518
3760,Mart B,2019,4,PRD33,Gingelly Oil,1644
3761,Mart B,2019,5,PRD33,Gingelly Oil,1929
3762,Mart B,2019,6,PRD33,Gingelly Oil,1957
3763,Mart B,2019,7,PRD33,Gingelly Oil,2112
3764,Mart B,2019,8,PRD33,Gingelly Oil,1874
3765,Mart B,2019,9,PRD33,Gingelly Oil,1727
3766,Mart B,2019,10,PRD33,Gingelly Oil,1630
3767,Mart B,2019,11,PRD33,Gingelly Oil,1719
3768,Mart B,2019,12,PRD33,Gingelly Oil,1298
3769,Mart B,2020,1,PRD33,Gingelly Oil,1205
3770,Mart B,2020,2,PRD33,Gingelly Oil,1131
3771,Mart B,2020,3,PRD33,Gingelly Oil,1563
3772,Mart B,2020,4,PRD33,Gingelly Oil,1859
3773,Mart B,2020,5,PRD33,Gingelly Oil,1976
3774,Mart B,2020,6,PRD33,Gingelly Oil,1974
3775,Mart B,2020,7,PRD33,Gingelly Oil,2216
3776,Mart B,2020,8,PRD33,Gingelly Oil,2031
3777,Mart B,2020,9,PRD33,Gingelly Oil,1788
3778,Mart B,2020,10,PRD33,Gingelly Oil,1698
3779,Mart B,2020,11,PRD33,Gingelly Oil,1820
3780,Mart B,2020,12,PRD33,Gingelly Oil,1324
3781,Mart B,2021,1,PRD33,Gingelly Oil,1345
3782,Mart B,2021,2,PRD33,Gingelly Oil,1259
3783,Mart B,2021,3,PRD33,Gingelly Oil,1718
3784,Mart B,2021,4,PRD33,Gingelly Oil,1956
3785,Mart B,2021,5,PRD33,Gingelly Oil,2082
3786,Mart B,2021,6,PRD33,Gingelly Oil,2256
3787,Mart B,2021,7,PRD33,Gingelly Oil,2413
3788,Mart B,2021,8,PRD33,Gingelly Oil,2172
3789,Mart B,2021,9,PRD33,Gingelly Oil,1965
3790,Mart B,2021,10,PRD33,Gingelly Oil,1881
3791,Mart B,2021,11,PRD33,Gingelly Oil,1945
3792,Mart B,2021,12,PRD33,Gingelly Oil,1421
3793,Mart B,2018,1,PRD34,Horse Gram,658
3794,Mart B,2018,2,PRD34,Horse Gram,691
3795,Mart B,2018,3,PRD34,Horse Gram,918
3796,Mart B,2018,4,PRD34,Horse Gram,989
3797,Mart B,2018,5,PRD34,Horse Gram,1120
3798,Mart B,2018,6,PRD34,Horse Gram,1145
3799,Mart B,2018,7,PRD34,Horse Gram,1204
3800,Mart B,2018,8,PRD34,Horse Gram,1065
3801,Mart B,2018,9,PRD34,Horse Gram,987
3802,Mart B,2018,10,PRD34,Horse Gram,903
3803,Mart B,2018,11,PRD34,Horse Gram,993
3804,Mart B,2018,12,PRD34,Horse Gram,698
3805,Mart B,2019,1,PRD34,Horse Gram,737
3806,Mart B,2019,2,PRD34,Horse Gram,768
3807,Mart B,2019,3,PRD34,Horse Gram,1003
3808,Mart B,2019,4,PRD34,Horse Gram,1171
3809,Mart B,2019,5,PRD34,Horse Gram,1285
3810,Mart B,2019,6,PRD34,Horse Gram,1277
3811,Mart B,2019,7,PRD34,Horse Gram,1475
3812,Mart B,2019,8,PRD34,Horse Gram,1193
3813,Mart B,2019,9,PRD34,Horse Gram,1098
3814,Mart B,2019,10,PRD34,Horse Gram,1100
3815,Mart B,2019,11,PRD34,Horse Gram,1179
3816,Mart B,2019,12,PRD34,Horse Gram,852
3817,Mart B,2020,1,PRD34,Horse Gram,797
3818,Mart B,2020,2,PRD34,Horse Gram,813
3819,Mart B,2020,3,PRD34,Horse Gram,1033
3820,Mart B,2020,4,PRD34,Horse Gram,1197
3821,Mart B,2020,5,PRD34,Horse Gram,1366
3822,Mart B,2020,6,PRD34,Horse Gram,1392
3823,Mart B,2020,7,PRD34,Horse Gram,1437
3824,Mart B,2020,8,PRD34,Horse Gram,1373
3825,Mart B,2020,9,PRD34,Horse Gram,1158
3826,Mart B,2020,10,PRD34,Horse Gram,1126
3827,Mart B,2020,11,PRD34,Horse Gram,1191
3828,Mart B,2020,12,PRD34,Horse Gram,851
3829,Mart B,2021,1,PRD34,Horse Gram,890
3830,Mart B,2021,2,PRD34,Horse Gram,873
3831,Mart B,2021,3,PRD34,Horse Gram,1150
3832,Mart B,2021,4,PRD34,Horse Gram,1325
3833,Mart B,2021,5,PRD34,Horse Gram,1446
3834,Mart B,2021,6,PRD34,Horse Gram,1394
3835,Mart B,2021,7,PRD34,Horse Gram,1635
3836,Mart B,2021,8,PRD34,Horse Gram,1426
3837,Mart B,2021,9,PRD34,Horse Gram,1307
3838,Mart B,2021,10,PRD34,Horse Gram,1214
3839,Mart B,2021,11,PRD34,Horse Gram,1309
3840,Mart B,2021,12,PRD34,Horse Gram,961
3841,Mart B,2018,1,PRD35,Paddy,505
3842,Mart B,2018,2,PRD35,Paddy,507
3843,Mart B,2018,3,PRD35,Paddy,666
3844,Mart B,2018,4,PRD35,Paddy,756
3845,Mart B,2018,5,PRD35,Paddy,788
3846,Mart B,2018,6,PRD35,Paddy,842
3847,Mart B,2018,7,PRD35,Paddy,825
3848,Mart B,2018,8,PRD35,Paddy,843
3849,Mart B,2018,9,PRD35,Paddy,749
3850,Mart B,2018,10,PRD35,Paddy,752
3851,Mart B,2018,11,PRD35,Paddy,736
3852,Mart B,2018,12,PRD35,Paddy,569
3853,Mart B,2019,1,PRD35,Paddy,551
3854,Mart B,2019,2,PRD35,Paddy,586
3855,Mart B,2019,3,PRD35,Paddy,727
3856,Mart B,2019,4,PRD35,Paddy,884
3857,Mart B,2019,5,PRD35,Paddy,923
3858,Mart B,2019,6,PRD35,Paddy,975
3859,Mart B,2019,7,PRD35,Paddy,1064
3860,Mart B,2019,8,PRD35,Paddy,951
3861,Mart B,2019,9,PRD35,Paddy,857
3862,Mart B,2019,10,PRD35,Paddy,799
3863,Mart B,2019,11,PRD35,Paddy,855
3864,Mart B,2019,12,PRD35,Paddy,643
3865,Mart B,2020,1,PRD35,Paddy,644
3866,Mart B,2020,2,PRD35,Paddy,561
3867,Mart B,2020,3,PRD35,Paddy,770
3868,Mart B,2020,4,PRD35,Paddy,872
3869,Mart B,2020,5,PRD35,Paddy,932
3870,Mart B,2020,6,PRD35,Paddy,982
3871,Mart B,2020,7,PRD35,Paddy,1079
3872,Mart B,2020,8,PRD35,Paddy,996
3873,Mart B,2020,9,PRD35,Paddy,912
3874,Mart B,2020,10,PRD35,Paddy,850
3875,Mart B,2020,11,PRD35,Paddy,884
3876,Mart B,2020,12,PRD35,Paddy,609
3877,Mart B,2021,1,PRD35,Paddy,695
3878,Mart B,2021,2,PRD35,Paddy,700
3879,Mart B,2021,3,PRD35,Paddy,887
3880,Mart B,2021,4,PRD35,Paddy,946
3881,Mart B,2021,5,PRD35,Paddy,1048
3882,Mart B,2021,6,PRD35,Paddy,1082
3883,Mart B,2021,7,PRD35,Paddy,1211
3884,Mart B,2021,8,PRD35,Paddy,1035
3885,Mart B,2021,9,PRD35,Paddy,985
3886,Mart B,2021,10,PRD35,Paddy,903
3887,Mart B,2021,11,PRD35,Paddy,929
3888,Mart B,2021,12,PRD35,Paddy,671
3889,Mart B,2018,1,PRD36,Ragi,831
3890,Mart B,2018,2,PRD36,Ragi,840
3891,Mart B,2018,3,PRD36,Ragi,1144
3892,Mart B,2018,4,PRD36,Ragi,1214
3893,Mart B,2018,5,PRD36,Ragi,1388
3894,Mart B,2018,6,PRD36,Ragi,1430
3895,Mart B,2018,7,PRD36,Ragi,1519
3896,Mart B,2018,8,PRD36,Ragi,1324
3897,Mart B,2018,9,PRD36,Ragi,1222
3898,Mart B,2018,10,PRD36,Ragi,1161
3899,Mart B,2018,11,PRD36,Ragi,1318
3900,Mart B,2018,12,PRD36,Ragi,938
3901,Mart B,2019,1,PRD36,Ragi,940
3902,Mart B,2019,2,PRD36,Ragi,938
3903,Mart B,2019,3,PRD36,Ragi,1269
3904,Mart B,2019,4,PRD36,Ragi,1434
3905,Mart B,2019,5,PRD36,Ragi,1542
3906,Mart B,2019,6,PRD36,Ragi,1589
3907,Mart B,2019,7,PRD36,Ragi,1812
3908,Mart B,2019,8,PRD36,Ragi,1677
3909,Mart B,2019,9,PRD36,Ragi,1427
3910,Mart B,2019,10,PRD36,Ragi,1414
3911,Mart B,2019,11,PRD36,Ragi,1481
3912,Mart B,2019,12,PRD36,Ragi,1011
3913,Mart B,2020,1,PRD36,Ragi,982
3914,Mart B,2020,2,PRD36,Ragi,1010
3915,Mart B,2020,3,PRD36,Ragi,1291
3916,Mart B,2020,4,PRD36,Ragi,1532
3917,Mart B,2020,5,PRD36,Ragi,1711
3918,Mart B,2020,6,PRD36,Ragi,1680
3919,Mart B,2020,7,PRD36,Ragi,1917
3920,Mart B,2020,8,PRD36,Ragi,1673
3921,Mart B,2020,9,PRD36,Ragi,1499
3922,Mart B,2020,10,PRD36,Ragi,1505
3923,Mart B,2020,11,PRD36,Ragi,1440
3924,Mart B,2020,12,PRD36,Ragi,1135
3925,Mart B,2021,1,PRD36,Ragi,1083
3926,Mart B,2021,2,PRD36,Ragi,1062
3927,Mart B,2021,3,PRD36,Ragi,1474
3928,Mart B,2021,4,PRD36,Ragi,1628
3929,Mart B,2021,5,PRD36,Ragi,1779
3930,Mart B,2021,6,PRD36,Ragi,1889
3931,Mart B,2021,7,PRD36,Ragi,2091
3932,Mart B,2021,8,PRD36,Ragi,1770
3933,Mart B,2021,9,PRD36,Ragi,1672
3934,Mart B,2021,10,PRD36,Ragi,1550
3935,Mart B,2021,11,PRD36,Ragi,1652
3936,Mart B,2021,12,PRD36,Ragi,1186
3937,Mart B,2018,1,PRD37,Raisins,1183
3938,Mart B,2018,2,PRD37,Raisins,1210
3939,Mart B,2018,3,PRD37,Raisins,1630
3940,Mart B,2018,4,PRD37,Raisins,1810
3941,Mart B,2018,5,PRD37,Raisins,1849
3942,Mart B,2018,6,PRD37,Raisins,1950
3943,Mart B,2018,7,PRD37,Raisins,2164
3944,Mart B,2018,8,PRD37,Raisins,1949
3945,Mart B,2018,9,PRD37,Raisins,1745
3946,Mart B,2018,10,PRD37,Raisins,1631
3947,Mart B,2018,11,PRD37,Raisins,1736
3948,Mart B,2018,12,PRD37,Raisins,1299
3949,Mart B,2019,1,PRD37,Raisins,1300
3950,Mart B,2019,2,PRD37,Raisins,1332
3951,Mart B,2019,3,PRD37,Raisins,1757
3952,Mart B,2019,4,PRD37,Raisins,1999
3953,Mart B,2019,5,PRD37,Raisins,2240
3954,Mart B,2019,6,PRD37,Raisins,2360
3955,Mart B,2019,7,PRD37,Raisins,2526
3956,Mart B,2019,8,PRD37,Raisins,2204
3957,Mart B,2019,9,PRD37,Raisins,1995
3958,Mart B,2019,10,PRD37,Raisins,1916
3959,Mart B,2019,11,PRD37,Raisins,2010
3960,Mart B,2019,12,PRD37,Raisins,1487
3961,Mart B,2020,1,PRD37,Raisins,1420
3962,Mart B,2020,2,PRD37,Raisins,1348
3963,Mart B,2020,3,PRD37,Raisins,1885
3964,Mart B,2020,4,PRD37,Raisins,2024
3965,Mart B,2020,5,PRD37,Raisins,2319
3966,Mart B,2020,6,PRD37,Raisins,2305
3967,Mart B,2020,7,PRD37,Raisins,2633
3968,Mart B,2020,8,PRD37,Raisins,2282
3969,Mart B,2020,9,PRD37,Raisins,2047
3970,Mart B,2020,10,PRD37,Raisins,1910
3971,Mart B,2020,11,PRD37,Raisins,2074
3972,Mart B,2020,12,PRD37,Raisins,1517
3973,Mart B,2021,1,PRD37,Raisins,1579
3974,Mart B,2021,2,PRD37,Raisins,1533
3975,Mart B,2021,3,PRD37,Raisins,1960
3976,Mart B,2021,4,PRD37,Raisins,2254
3977,Mart B,2021,5,PRD37,Raisins,2480
3978,Mart B,2021,6,PRD37,Raisins,2497
3979,Mart B,2021,7,PRD37,Raisins,2872
3980,Mart B,2021,8,PRD37,Raisins,2392
3981,Mart B,2021,9,PRD37,Raisins,2305
3982,Mart B,2021,10,PRD37,Raisins,2207
3983,Mart B,2021,11,PRD37,Raisins,2315
3984,Mart B,2021,12,PRD37,Raisins,1709
3985,Mart B,2018,1,PRD38,Saffron,661
3986,Mart B,2018,2,PRD38,Saffron,679
3987,Mart B,2018,3,PRD38,Saffron,953
3988,Mart B,2018,4,PRD38,Saffron,1026
3989,Mart B,2018,5,PRD38,Saffron,1078
3990,Mart B,2018,6,PRD38,Saffron,1157
3991,Mart B,2018,7,PRD38,Saffron,1281
3992,Mart B,2018,8,PRD38,Saffron,1108
3993,Mart B,2018,9,PRD38,Saffron,981
3994,Mart B,2018,10,PRD38,Saffron,963
3995,Mart B,2018,11,PRD38,Saffron,1045
3996,Mart B,2018,12,PRD38,Saffron,719
3997,Mart B,2019,1,PRD38,Saffron,760
3998,Mart B,2019,2,PRD38,Saffron,770
3999,Mart B,2019,3,PRD38,Saffron,1016
4000,Mart B,2019,4,PRD38,Saffron,1123
4001,Mart B,2019,5,PRD38,Saffron,1202
4002,Mart B,2019,6,PRD38,Saffron,1292
4003,Mart B,2019,7,PRD38,Saffron,1415
4004,Mart B,2019,8,PRD38,Saffron,1296
4005,Mart B,2019,9,PRD38,Saffron,1184
4006,Mart B,2019,10,PRD38,Saffron,1047
4007,Mart B,2019,11,PRD38,Saffron,1160
4008,Mart B,2019,12,PRD38,Saffron,887
4009,Mart B,2020,1,PRD38,Saffron,775
4010,Mart B,2020,2,PRD38,Saffron,811
4011,Mart B,2020,3,PRD38,Saffron,1069
4012,Mart B,2020,4,PRD38,Saffron,1182
4013,Mart B,2020,5,PRD38,Saffron,1321
4014,Mart B,2020,6,PRD38,Saffron,1350
4015,Mart B,2020,7,PRD38,Saffron,1456
4016,Mart B,2020,8,PRD38,Saffron,1327
4017,Mart B,2020,9,PRD38,Saffron,1205
4018,Mart B,2020,10,PRD38,Saffron,1159
4019,Mart B,2020,11,PRD38,Saffron,1197
4020,Mart B,2020,12,PRD38,Saffron,880
4021,Mart B,2021,1,PRD38,Saffron,858
4022,Mart B,2021,2,PRD38,Saffron,846
4023,Mart B,2021,3,PRD38,Saffron,1081
4024,Mart B,2021,4,PRD38,Saffron,1294
4025,Mart B,2021,5,PRD38,Saffron,1456
4026,Mart B,2021,6,PRD38,Saffron,1552
4027,Mart B,2021,7,PRD38,Saffron,1694
4028,Mart B,2021,8,PRD38,Saffron,1388
4029,Mart B,2021,9,PRD38,Saffron,1318
4030,Mart B,2021,10,PRD38,Saffron,1207
4031,Mart B,2021,11,PRD38,Saffron,1304
4032,Mart B,2021,12,PRD38,Saffron,951
4033,Mart B,2018,1,PRD39,Vermicelli,1753
4034,Mart B,2018,2,PRD39,Vermicelli,1802
4035,Mart B,2018,3,PRD39,Vermicelli,2417
4036,Mart B,2018,4,PRD39,Vermicelli,2713
4037,Mart B,2018,5,PRD39,Vermicelli,3027
4038,Mart B,2018,6,PRD39,Vermicelli,3164
4039,Mart B,2018,7,PRD39,Vermicelli,3439
4040,Mart B,2018,8,PRD39,Vermicelli,3173
4041,Mart B,2018,9,PRD39,Vermicelli,2831
4042,Mart B,2018,10,PRD39,Vermicelli,2639
4043,Mart B,2018,11,PRD39,Vermicelli,2714
4044,Mart B,2018,12,PRD39,Vermicelli,1983
4045,Mart B,2019,1,PRD39,Vermicelli,2144
4046,Mart B,2019,2,PRD39,Vermicelli,2093
4047,Mart B,2019,3,PRD39,Vermicelli,2817
4048,Mart B,2019,4,PRD39,Vermicelli,3008
4049,Mart B,2019,5,PRD39,Vermicelli,3301
4050,Mart B,2019,6,PRD39,Vermicelli,3598
4051,Mart B,2019,7,PRD39,Vermicelli,3895
4052,Mart B,2019,8,PRD39,Vermicelli,3497
4053,Mart B,2019,9,PRD39,Vermicelli,3122
4054,Mart B,2019,10,PRD39,Vermicelli,3097
4055,Mart B,2019,11,PRD39,Vermicelli,3109
4056,Mart B,2019,12,PRD39,Vermicelli,2183
4057,Mart B,2020,1,PRD39,Vermicelli,2175
4058,Mart B,2020,2,PRD39,Vermicelli,2191
4059,Mart B,2020,3,PRD39,Vermicelli,2940
4060,Mart B,2020,4,PRD39,Vermicelli,3299
4061,Mart B,2020,5,PRD39,Vermicelli,3672
4062,Mart B,2020,6,PRD39,Vermicelli,3584
4063,Mart B,2020,7,PRD39,Vermicelli,4113
4064,Mart B,2020,8,PRD39,Vermicelli,3627
4065,Mart B,2020,9,PRD39,Vermicelli,3189
4066,Mart B,2020,10,PRD39,Vermicelli,3081
4067,Mart B,2020,11,PRD39,Vermicelli,3241
4068,Mart B,2020,12,PRD39,Vermicelli,2416
4069,Mart B,2021,1,PRD39,Vermicelli,2328
4070,Mart B,2021,2,PRD39,Vermicelli,2355
4071,Mart B,2021,3,PRD39,Vermicelli,3118
4072,Mart B,2021,4,PRD39,Vermicelli,3570
4073,Mart B,2021,5,PRD39,Vermicelli,3756
4074,Mart B,2021,6,PRD39,Vermicelli,4072
4075,Mart B,2021,7,PRD39,Vermicelli,4529
4076,Mart B,2021,8,PRD39,Vermicelli,3941
4077,Mart B,2021,9,PRD39,Vermicelli,3622
4078,Mart B,2021,10,PRD39,Vermicelli,3463
4079,Mart B,2021,11,PRD39,Vermicelli,3532
4080,Mart B,2021,12,PRD39,Vermicelli,2715
4081,Mart B,2018,1,PRD40,Rose Water,1312
4082,Mart B,2018,2,PRD40,Rose Water,1364
4083,Mart B,2018,3,PRD40,Rose Water,1805
4084,Mart B,2018,4,PRD40,Rose Water,1985
4085,Mart B,2018,5,PRD40,Rose Water,2270
4086,Mart B,2018,6,PRD40,Rose Water,2346
4087,Mart B,2018,7,PRD40,Rose Water,2504
4088,Mart B,2018,8,PRD40,Rose Water,2156
4089,Mart B,2018,9,PRD40,Rose Water,2039
4090,Mart B,2018,10,PRD40,Rose Water,1814
4091,Mart B,2018,11,PRD40,Rose Water,1984
4092,Mart B,2018,12,PRD40,Rose Water,1480
4093,Mart B,2019,1,PRD40,Rose Water,1517
4094,Mart B,2019,2,PRD40,Rose Water,1482
4095,Mart B,2019,3,PRD40,Rose Water,1989
4096,Mart B,2019,4,PRD40,Rose Water,2280
4097,Mart B,2019,5,PRD40,Rose Water,2552
4098,Mart B,2019,6,PRD40,Rose Water,2684
4099,Mart B,2019,7,PRD40,Rose Water,2786
4100,Mart B,2019,8,PRD40,Rose Water,2532
4101,Mart B,2019,9,PRD40,Rose Water,2250
4102,Mart B,2019,10,PRD40,Rose Water,2208
4103,Mart B,2019,11,PRD40,Rose Water,2278
4104,Mart B,2019,12,PRD40,Rose Water,1688
4105,Mart B,2020,1,PRD40,Rose Water,1569
4106,Mart B,2020,2,PRD40,Rose Water,1551
4107,Mart B,2020,3,PRD40,Rose Water,1955
4108,Mart B,2020,4,PRD40,Rose Water,2410
4109,Mart B,2020,5,PRD40,Rose Water,2628
4110,Mart B,2020,6,PRD40,Rose Water,2762
4111,Mart B,2020,7,PRD40,Rose Water,2977
4112,Mart B,2020,8,PRD40,Rose Water,2638
4113,Mart B,2020,9,PRD40,Rose Water,2338
4114,Mart B,2020,10,PRD40,Rose Water,2309
4115,Mart B,2020,11,PRD40,Rose Water,2356
4116,Mart B,2020,12,PRD40,Rose Water,1829
4117,Mart B,2021,1,PRD40,Rose Water,1724
4118,Mart B,2021,2,PRD40,Rose Water,1734
4119,Mart B,2021,3,PRD40,Rose Water,2326
4120,Mart B,2021,4,PRD40,Rose Water,2469
4121,Mart B,2021,5,PRD40,Rose Water,2837
4122,Mart B,2021,6,PRD40,Rose Water,2980
4123,Mart B,2021,7,PRD40,Rose Water,3345
4124,Mart B,2021,8,PRD40,Rose Water,2854
4125,Mart B,2021,9,PRD40,Rose Water,2688
4126,Mart B,2021,10,PRD40,Rose Water,2426
4127,Mart B,2021,11,PRD40,Rose Water,2613
4128,Mart B,2021,12,PRD40,Rose Water,1911
4129,Mart B,2018,1,PRD41,Pickle,467
4130,Mart B,2018,2,PRD41,Pickle,464
4131,Mart B,2018,3,PRD41,Pickle,654
4132,Mart B,2018,4,PRD41,Pickle,779
4133,Mart B,2018,5,PRD41,Pickle,818
4134,Mart B,2018,6,PRD41,Pickle,856
4135,Mart B,2018,7,PRD41,Pickle,903
4136,Mart B,2018,8,PRD41,Pickle,812
4137,Mart B,2018,9,PRD41,Pickle,720
4138,Mart B,2018,10,PRD41,Pickle,735
4139,Mart B,2018,11,PRD41,Pickle,757
4140,Mart B,2018,12,PRD41,Pickle,570
4141,Mart B,2019,1,PRD41,Pickle,576
4142,Mart B,2019,2,PRD41,Pickle,612
4143,Mart B,2019,3,PRD41,Pickle,790
4144,Mart B,2019,4,PRD41,Pickle,853
4145,Mart B,2019,5,PRD41,Pickle,969
4146,Mart B,2019,6,PRD41,Pickle,1017
4147,Mart B,2019,7,PRD41,Pickle,1085
4148,Mart B,2019,8,PRD41,Pickle,924
4149,Mart B,2019,9,PRD41,Pickle,797
4150,Mart B,2019,10,PRD41,Pickle,901
4151,Mart B,2019,11,PRD41,Pickle,857
4152,Mart B,2019,12,PRD41,Pickle,617
4153,Mart B,2020,1,PRD41,Pickle,616
4154,Mart B,2020,2,PRD41,Pickle,557
4155,Mart B,2020,3,PRD41,Pickle,804
4156,Mart B,2020,4,PRD41,Pickle,892
4157,Mart B,2020,5,PRD41,Pickle,1023
4158,Mart B,2020,6,PRD41,Pickle,981
4159,Mart B,2020,7,PRD41,Pickle,1147
4160,Mart B,2020,8,PRD41,Pickle,959
4161,Mart B,2020,9,PRD41,Pickle,860
4162,Mart B,2020,10,PRD41,Pickle,877
4163,Mart B,2020,11,PRD41,Pickle,926
4164,Mart B,2020,12,PRD41,Pickle,627
4165,Mart B,2021,1,PRD41,Pickle,657
4166,Mart B,2021,2,PRD41,Pickle,664
4167,Mart B,2021,3,PRD41,Pickle,803
4168,Mart B,2021,4,PRD41,Pickle,961
4169,Mart B,2021,5,PRD41,Pickle,1050
4170,Mart B,2021,6,PRD41,Pickle,1106
4171,Mart B,2021,7,PRD41,Pickle,1256
4172,Mart B,2021,8,PRD41,Pickle,1017
4173,Mart B,2021,9,PRD41,Pickle,934
4174,Mart B,2021,10,PRD41,Pickle,1019
4175,Mart B,2021,11,PRD41,Pickle,975
4176,Mart B,2021,12,PRD41,Pickle,747
4177,Mart B,2018,1,PRD42,Palm Oil,1150
4178,Mart B,2018,2,PRD42,Palm Oil,1179
4179,Mart B,2018,3,PRD42,Palm Oil,1587
4180,Mart B,2018,4,PRD42,Palm Oil,1841
4181,Mart B,2018,5,PRD42,Palm Oil,1889
4182,Mart B,2018,6,PRD42,Palm Oil,2064
4183,Mart B,2018,7,PRD42,Palm Oil,2166
4184,Mart B,2018,8,PRD42,Palm Oil,1881
4185,Mart B,2018,9,PRD42,Palm Oil,1741
4186,Mart B,2018,10,PRD42,Palm Oil,1674
4187,Mart B,2018,11,PRD42,Palm Oil,1759
4188,Mart B,2018,12,PRD42,Palm Oil,1232
4189,Mart B,2019,1,PRD42,Palm Oil,1301
4190,Mart B,2019,2,PRD42,Palm Oil,1337
4191,Mart B,2019,3,PRD42,Palm Oil,1736
4192,Mart B,2019,4,PRD42,Palm Oil,1994
4193,Mart B,2019,5,PRD42,Palm Oil,2171
4194,Mart B,2019,6,PRD42,Palm Oil,2328
4195,Mart B,2019,7,PRD42,Palm Oil,2501
4196,Mart B,2019,8,PRD42,Palm Oil,2238
4197,Mart B,2019,9,PRD42,Palm Oil,1938
4198,Mart B,2019,10,PRD42,Palm Oil,1903
4199,Mart B,2019,11,PRD42,Palm Oil,2049
4200,Mart B,2019,12,PRD42,Palm Oil,1420
4201,Mart B,2020,1,PRD42,Palm Oil,1436
4202,Mart B,2020,2,PRD42,Palm Oil,1352
4203,Mart B,2020,3,PRD42,Palm Oil,1808
4204,Mart B,2020,4,PRD42,Palm Oil,2100
4205,Mart B,2020,5,PRD42,Palm Oil,2357
4206,Mart B,2020,6,PRD42,Palm Oil,2418
4207,Mart B,2020,7,PRD42,Palm Oil,2624
4208,Mart B,2020,8,PRD42,Palm Oil,2353
4209,Mart B,2020,9,PRD42,Palm Oil,2086
4210,Mart B,2020,10,PRD42,Palm Oil,1976
4211,Mart B,2020,11,PRD42,Palm Oil,2035
4212,Mart B,2020,12,PRD42,Palm Oil,1478
4213,Mart B,2021,1,PRD42,Palm Oil,1509
4214,Mart B,2021,2,PRD42,Palm Oil,1515
4215,Mart B,2021,3,PRD42,Palm Oil,1949
